images,task,target_answer
image_0.png,What number is shown?,9079
image_1.png,What is the value of the largest bar?,10000
image_2.png,Miss Foley ran a sit-up competition among her P.E. students and monitored how many sit-ups each students could do. What is the largest number of sit-ups done? (Unit: sit-ups),86
image_3.png,What is the ratio of the number of procedures to register a business in 2004 to that in 2007?,1
image_4.png,Subtract all large metal blocks. Subtract all yellow cylinders. How many objects are left?,6
image_5.png,Subtract all big green matte cylinders. Subtract all big brown cubes. How many objects are left?,1
image_6.png,What is the value of the largest bar?,9
image_7.png,What is the age gap between these two people in image?,6
image_8.png,Which leaf shape has the smallest base?,Decurrent
image_9.png,A machine at the candy factory dispensed different numbers of lemon-flavored candies into various bags. What is the smallest number of lemon-flavored candies? (Unit: lemon-flavored candies),34
